Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani ","LAD","DH",1.2699999809265137,679,6.47742724925217,9.32700315321712,11.2380654958302,3.46987238138348,10.8456718713734,41.3580401510563,8.538446347189781,50.8964864982461,"Shohei Ohtani","19755",660271
"Aaron Judge ","NYY","OF/DH",1.850000023841858,644,8.67916278792484,9.9189701081983,8.25218532038292,-0.560320132219828,11.6094835983217,37.8994816826079,10.553832793224087,49.453314475831974,"Aaron Judge","15640",592450
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,679,9.87218540307872,5.77520142333002,8.0225022299639,6.34858131967156,3.97136632883876,33.989836704883,8.978848907125535,43.968685612008485,"Bobby Witt Jr.","25764",677951
"Juan Soto ","NYM","OF",4.650000095367432,686,5.20475908231199,6.36716837831121,8.0225022299639,2.60625969989706,6.64470737315777,28.8453967636419,10.553832793224087,40.399229556866004,"Juan Soto","20123",665742
"Ronald Acuña Jr. ","ATL","OF",5.260000228881836,651,6.64451684183934,4.19662287671354,5.26630514493565,3.46987238138348,3.97136632883876,23.5486835737108,10.553832793224087,35.10251636693485,"Ronald Acuna Jr.","18401",660670
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.049999237060547,679,9.84455480513742,5.77520142333002,5.03662205451663,-1.99967460136387,4.3532721923129,23.0099758739331,9.804671645785488,33.814647519718605,"Vladimir Guerrero Jr.","19611",665489
"Julio Rodríguez ","SEA","OF",9.489999771118164,686,5.39037477888648,4.3939451950406,4.34757278325957,4.62135595669871,2.82564873841632,21.5788974523017,10.553832793224087,33.13273024552577,"Julio Rodriguez","23697",677594
"Gunnar Henderson ","BAL","SS",12.510000228881836,672,5.02694187475206,4.19662287671354,7.56313604912586,3.18200148755467,2.44374287494218,22.4124451630883,8.978848907125535,32.39129407021383,"Gunnar Henderson","26289",683002
"Elly De La Cruz ","CIN","SS",8.449999809265137,672,1.8714374923638,2.81536664842411,5.72567132577369,8.0758066826444,2.06183701146803,20.550119160674,8.978848907125535,30.52896806779958,"Elly De La Cruz","26668",682829
"Fernando Tatis Jr. ","SDP","OF",14.010000228881836,672,3.24065419405882,3.60465592173235,3.88820660242153,3.75774327521229,3.58946046536461,18.0807204587896,10.553832793224087,29.634553252013692,"Fernando Tatis Jr.","19709",665487
