Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",7.019999980926514,202,6.09115395964598,-1.41030681533995,10.357008099811667,11.277720286016635,7.39052835458273,33.70610388471706,8.95993436825506,43.66603825297212,"Tarik Skubal","22267",669373
"Paul Skenes ","PIT","SP",9.649999618530273,191,5.06806744634738,-1.41030681533995,7.931551168738999,6.571458348787595,6.17466723814441,24.335437386678436,8.95993436825506,34.29537175493349,"Paul Skenes","33677",694973
"Garrett Crochet ","BOS","SP",12.239999771118164,199,5.06806744634738,-1.41030681533995,6.644184654257859,5.939873612878698,7.3190071124393,23.560826010583284,8.95993436825506,33.52076037883834,"Garrett Crochet","27463",676979
"Bryan Woo ","SEA","SP",34.77000045776367,197,5.06806744634738,-1.41030681533995,4.017776739618948,7.394209552461449,4.60119991098894,19.67094683407677,8.95993436825506,29.630881202331828,"Bryan Woo","30279",693433
"Cristopher Sánchez ","PHI","SP",24.75,202,6.09115395964598,-1.41030681533995,4.460509013293273,2.9805058501412582,4.45815742670208,16.580019434442644,8.95993436825506,26.539953802697706,"Cristopher Sanchez","20778",650911
"Logan Gilbert ","SEA","SP",37.150001525878906,164,3.02189441975018,-1.41030681533995,3.998635591346665,6.239821296829605,2.88469009954662,14.734734592133117,8.95993436825506,24.694668960388174,"Logan Gilbert","22250",669302
"Chris Sale ","ATL","SP",39.36000061035156,162,3.02189441975018,-1.41030681533995,4.547265646371505,4.323413871837978,3.88598748955464,14.36825461217435,8.95993436825506,24.328188980429413,"Chris Sale","10603",519242
"Zack Wheeler ","PHI","SP",110.48999786376953,157,3.02189441975018,-1.41030681533995,3.19737966707896,4.588510356220488,2.95621134169005,12.353688969399723,8.95993436825506,22.313623337654786,"Zack Wheeler","10310",554430
"George Kirby ","SEA","SP",64.58000183105469,172,3.02189441975018,-1.41030681533995,3.164845929674626,5.089660658678499,1.95491395168202,11.821008144445376,8.95993436825506,21.780942512700438,"George Kirby","25436",669923
"Logan Webb ","SFG","SP",57.189998626708984,205,4.04498093304878,-1.41030681533995,3.183987077946909,1.576865794130451,4.0290299738415,11.424556963627689,8.95993436825506,21.384491331882753,"Logan Webb","17995",657277
"Yoshinobu Yamamoto ","LAD","SP",26.639999389648438,155,4.04498093304878,-1.41030681533995,2.8388560164855856,2.6721029312288613,2.02643519382545,10.17206825924873,8.95993436825506,20.13200262750379,"Yoshinobu Yamamoto","33825",808967
"Max Fried ","NYY","SP",50.04999923706055,188,5.06806744634738,-1.41030681533995,2.4044203119487615,1.233611675649658,2.67012637311633,9.965918991722175,8.95993436825506,19.925853359977236,"Max Fried","13743",608331
"Jacob deGrom ","TEX","SP",50.0099983215332,170,1.99880790645158,-1.41030681533995,1.4455917206539304,4.7289809404135115,2.95621134169005,9.719285093869114,8.95993436825506,19.679219462124177,"Jacob deGrom","10954",594798
"Jesús Luzardo ","PHI","SP",70.58999633789062,178,4.04498093304878,-1.41030681533995,0.6118020589818909,1.5045166932935672,4.0290299738415,8.780022843825789,8.95993436825506,18.73995721208085,"Jesus Luzardo","19959",666200
"Framber Valdez ","DET","SP",81.13999938964844,194,5.06806744634738,-1.41030681533995,2.5728375581106695,-0.79580458300864,3.24229631026377,8.677089916373228,8.95993436825506,18.63702428462829,"Framber Valdez","17295",664285
