Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani ","LAD","DH",1.2699999809265137,658.176,3.3294189057084824,6.784776128754659,9.813891883736463,4.082124227747065,9.442293733107414,33.45250487905408,8.401389694984731,42.85389457403882,"Shohei Ohtani","19755",660271
"Aaron Judge ","NYY","OF/DH",1.850000023841858,633.319,4.405133511040454,7.392908173655932,7.735263799044518,-0.47751021602959615,8.921800625227016,27.977595892938325,11.603575064486456,40.58117095742478,"Aaron Judge","15640",592450
"Ronald Acuña Jr. ","ATL","OF",5.260000228881836,676.219,5.582734365908375,3.675084682376454,7.8194402644022105,4.713793315736612,4.333835350552355,26.124887978976002,11.603575064486456,38.72846304346246,"Ronald Acuna Jr.","18401",660670
"Bobby Witt Jr. ","KCR","SS",3.0999999046325684,633.655,7.177258461990297,4.589205283532967,5.866371600717171,7.09944038210841,3.198262874114619,27.930538602463464,9.112007661449356,38.04254626391282,"Bobby Witt Jr.","25764",677951
"Juan Soto ","NYM","OF",4.650000095367432,621.171,2.5542504031928988,4.614853032730945,7.010355361744241,3.1924386560297955,5.707735142878222,23.0796325965761,11.603575064486456,35.68320766106256,"Juan Soto","20123",665742
"Fernando Tatis Jr. ","SDP","OF",14.010000228881836,619.251,3.1282141095679705,3.326609525553132,5.362796619511161,4.333310514368278,4.17498985343012,20.32592062243066,11.603575064486456,32.92949568691712,"Fernando Tatis Jr.","19709",665487
"Julio Rodríguez ","SEA","OF",9.489999771118164,617.685,3.305464673759925,5.145537533439014,3.3019972486518445,4.186534473384276,3.9418973009796976,19.88143123021476,11.603575064486456,32.485006294701215,"Julio Rodriguez","23697",677594
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.049999237060547,636.639,7.649063609875492,6.709036986271598,4.914537765415569,-1.8347094301377362,4.877465685997555,22.31539461742248,8.485428816948463,31.800823434370944,"Vladimir Guerrero Jr.","19611",665489
"Corbin Carroll ","ARI","OF",14.100000381469727,609.917,0.3919157171793115,3.033963881473668,5.243507125661799,7.556439319450298,2.6784892794382396,18.904315323203317,11.603575064486456,31.507890387689777,"Corbin Carroll","25878",682998
"Gunnar Henderson ","BAL","SS",12.510000228881836,665.535,3.34498432261717,3.623120409105773,6.2027399059321295,4.515927194026078,3.262719519373303,20.949491351054455,9.112007661449356,31.06149901250381,"Gunnar Henderson","26289",683002
"Cal Raleigh ","SEA","C/DH",18.729999542236328,614.647,-5.53359383194247,5.070245275326999,3.94242757461434,-0.7448926663872697,7.019256798957436,9.753443150569037,19.52826284096506,30.281705991534096,"Cal Raleigh","21534",663728
"José Ramírez ","CLE","3B/DH",6.28000020980835,603.88,3.257397045747591,4.382611259471186,2.87081442984809,6.617185644645186,2.7655244624539446,19.893532842165996,8.401389694984731,29.29492253715073,"Jose Ramirez","13510",608070
"Elly De La Cruz ","CIN","SS",8.449999809265137,616.808,0.8183673279907304,3.1688267572552067,2.9325498706966666,9.2474261258584,1.3588959656995425,17.526066047500542,9.112007661449356,27.6380737089499,"Elly De La Cruz","26668",682829
