Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",7.019999980926514,199.765,5.3555803495460035,-1.3993415316800395,10.385731010670334,11.384542498077753,6.68101584210523,32.40752816871928,8.602693719932358,42.010221888651635,"Tarik Skubal","22267",669373
"Paul Skenes ","PIT","SP",9.649999618530273,193.982,4.823921506204608,-1.3993415316800395,8.702091423209753,7.546284302427817,6.281105548397815,25.954061248559952,8.602693719932358,35.55675496849231,"Paul Skenes","33677",694973
"Garrett Crochet ","BOS","SP",12.239999771118164,192.855,4.942888625146079,-1.3993415316800395,7.519821790630162,7.7655201410078325,6.394532242018193,25.223421267122227,8.602693719932358,34.82611498705459,"Garrett Crochet","27463",676979
"Chris Sale ","ATL","SP",39.36000061035156,168.535,3.2795259423471776,-1.3993415316800395,4.924222936351996,6.05745647720796,4.199030043097596,17.06089386732469,8.602693719932358,26.663587587257048,"Chris Sale","10603",519242
"Cristopher Sánchez ","PHI","SP",24.75,198.055,4.8821743028143345,-1.3993415316800395,6.277120359482211,2.338203962538111,3.2537312057721834,15.351888298926802,8.602693719932358,24.95458201885916,"Cristopher Sanchez","20778",650911
"Zack Wheeler ","PHI","SP",110.48999786376953,154.827,2.237804643540355,-1.3993415316800395,4.453789098267303,5.738861950067862,2.348039484909024,13.379153645104505,8.602693719932358,22.981847365036863,"Zack Wheeler","10310",554430
"Jacob deGrom ","TEX","SP",50.0099983215332,174.797,2.8451438856033637,-1.3993415316800395,1.7742811545669843,5.8302332871217395,4.016854951546102,13.067171747158149,8.602693719932358,22.669865467090506,"Jacob deGrom","10954",594798
"Cole Ragans ","KCR","SP",48.15999984741211,172.018,3.219095260043586,-1.3993415316800395,3.8280546573991443,2.1202654994857166,4.535740727662178,12.303814612910585,8.602693719932358,21.906508332842943,"Cole Ragans","21846",666142
"Logan Gilbert ","SEA","SP",37.150001525878906,166.486,2.6576000150147574,-1.3993415316800395,2.8629811739772055,5.5580137747344525,2.61125102675574,12.290504458802117,8.602693719932358,21.893198178734476,"Logan Gilbert","22250",669302
"Bryan Woo ","SEA","SP",34.77000045776367,195.095,3.770455342283041,-1.3993415316800395,1.1454953650056197,4.902108953113769,3.5295157432669053,11.948233871989295,8.602693719932358,21.55092759192165,"Bryan Woo","30279",693433
"George Kirby ","SEA","SP",64.58000183105469,178.218,3.099843597761773,-1.3993415316800395,1.9017163607941017,4.9873995787985885,2.078880639289781,10.668498644964203,8.602693719932358,20.271192364896564,"George Kirby","25436",669923
"Logan Webb ","SFG","SP",57.189998626708984,199.392,3.9792162096271557,-1.3993415316800395,4.2960485591519975,0.5644448322618717,2.9945139400652767,10.434882009426262,8.602693719932358,20.03757572935862,"Logan Webb","17995",657277
"Max Fried ","NYY","SP",50.04999923706055,189.434,4.198301935320874,-1.3993415316800395,4.550196372588396,0.3445204730749444,2.4759141212661393,10.169591370570313,8.602693719932358,19.77228509050267,"Max Fried","13743",608331
"Dylan Cease ","TOR","SP",74.7699966430664,177.809,3.362879074823956,-1.3993415316800395,1.6202943426096017,0.6960453959386163,4.412697958734916,8.69257524042705,8.602693719932358,18.295268960359408,"Dylan Cease","18525",656302
"Jesús Luzardo ","PHI","SP",70.58999633789062,180.975,3.3347472232420077,-1.3993415316800395,1.3227002867383872,1.322365259044302,3.678854416956174,8.259325654300829,8.602693719932358,17.86201937423319,"Jesus Luzardo","19959",666200
"Mason Miller ","SDP","RP",27.860000610351562,66,-4.120028591499364,7.220158050073747,4.981881992453215,4.023837075083097,-2.5096371138477047,9.596211412262992,5.923586940896976,16.519798353159963,"Mason Miller","31757",695243
"Joe Ryan ","MIN","SP",78.52999877929688,172.8,2.199159141360767,-1.3993415316800395,-1.1629391260593758,3.930282036986936,3.121869391506529,6.689029912114816,8.602693719932358,16.291723632047173,"Joe Ryan","21390",657746
"Hunter Brown ","HOU","SP",36.189998626708984,184.176,3.3232859981554146,-1.3993415316800395,0.7533510298803389,-0.2925796271832227,3.848296295639533,6.233012164812024,8.602693719932358,15.835705884744383,"Hunter Brown","25880",686613
"Shane McClanahan ","TBR","SP",182.99000549316406,142.175,0.6767384531875688,-1.3993415316800395,2.8204216717731123,2.3660757077869063,1.0285553580373579,5.492449659104906,8.602693719932358,15.095143379037264,"Shane McClanahan","21483",663556
"Sonny Gray ","BOS","SP",138.08999633789062,181.357,2.9933792228637723,-1.3993415316800395,0.046747798343552936,0.5677269293499891,3.1410619948317837,5.349574413709059,8.602693719932358,14.952268133641416,"Sonny Gray","12768",543243
"Yoshinobu Yamamoto ","LAD","SP",26.639999389648438,154.428,2.476876151472476,-1.3993415316800395,2.1890177685794243,0.5876769100656789,1.3430242419290326,5.197253540366572,8.602693719932358,14.79994726029893,"Yoshinobu Yamamoto","33825",808967
"Nathan Eovaldi ","TEX","SP",132.50999450683594,174.547,2.5183625704945403,-1.3993415316800395,0.4874075208958563,1.0563478357637193,1.9367983860261229,4.5995747815002,8.602693719932358,14.202268501432558,"Nathan Eovaldi","9132",543135
"Framber Valdez ","DET","SP",81.13999938964844,190.384,3.3435563237341617,-1.3993415316800395,2.901689044009447,-2.705132480185815,2.246296479961629,4.387067835839383,8.602693719932358,13.989761555771741,"Framber Valdez","17295",664285
"Brandon Woodruff ","MIL","SP",143.82000732421875,167.715,1.51604465279603,-1.3993415316800395,-1.563783140182795,2.185045577814517,2.242255558302035,2.980221117049747,8.602693719932358,12.582914836982106,"Brandon Woodruff","16162",605540
"Edwin Díaz ","LAD","RP",33,66,-4.272999994580154,8.355737440379386,2.537122930038434,2.3343374026685,-3.4301610959693036,5.524036682536863,5.923586940896976,12.447623623433838,"Edwin Diaz","14710",621242
"Freddy Peralta ","NYM","SP",56.36000061035156,168.291,2.3804520915837344,-1.3993415316800395,-0.9610959504722134,-0.4116259672568454,2.8418390976783763,2.4502277398530126,8.602693719932358,12.05292145978537,"Freddy Peralta","18679",642547
"Shohei Ohtani ","LAD","SP",1.2699999809265137,116.914,0.3927705227102207,-1.3993415316800395,1.597316333373003,2.255679509220123,-0.40048692641168787,2.44593790721162,8.602693719932358,12.048631627143978,"Shohei Ohtani","19755",660271
"Tyler Glasnow ","LAD","SP",113.73999786376953,141.168,1.4794830918423847,-1.3993415316800395,0.7273919462050628,0.1528422428467775,1.4736093885988446,2.43398513781303,8.602693719932358,12.03667885774539,"Tyler Glasnow","14374",607192
"Nick Pivetta ","SDP","SP",96.01000213623047,174.053,1.9812106857162313,-1.3993415316800395,-2.7292156637153657,0.7783008071501489,3.275381825183473,1.9063361226544484,8.602693719932358,11.509029842586806,"Nick Pivetta","15454",601713
"Drew Rasmussen ","TBR","SP",132.36000061035156,171.003,2.01919315674721,-1.3993415316800395,-0.19875288714893627,-0.064637416911055,1.2248528877201366,1.5813142087273158,8.602693719932358,11.184007928659675,"Drew Rasmussen","25385",656876
