Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Paul Skenes ","PIT","SP",9.649999618530273,103.496,4.746567727985854,-1.461118177442271,9.40732405240655,8.17687267115164,5.100839837481262,25.970486111583032,8.544502541217481,35.51498865280051,"Paul Skenes","33677",694973
"Tarik Skubal ","DET","SP",7.019999980926514,90.016,3.3580609624695152,-1.461118177442271,9.035510739796024,10.280076199897062,3.8747305263217666,25.087260251042096,8.544502541217481,34.63176279225958,"Tarik Skubal","22267",669373
"Cristopher Sánchez ","PHI","SP",24.75,105.732,5.4669606539596725,-1.461118177442271,8.099459213498509,4.542658231291715,4.2162554426771885,20.86421536398482,8.544502541217481,30.4087179052023,"Cristopher Sanchez","20778",650911
"Jacob Misiorowski ","MIL","SP",114.13999938964844,92.5041,3.609090117514248,-1.461118177442271,7.345883646987546,3.851058349205966,6.249848239882627,19.594762176148116,8.544502541217481,29.1392647173656,"Jacob Misiorowski","31623",694819
"Dylan Cease ","TOR","SP",74.7699966430664,103.156,4.782030732866461,-1.461118177442271,4.763114750836006,2.272950653628109,6.890369273180139,17.247347233068446,8.544502541217481,26.791849774285925,"Dylan Cease","18525",656302
"Jacob deGrom ","TEX","SP",50.0099983215332,90.752,2.462272666077474,-1.461118177442271,3.7638952814412567,7.975109710096719,3.3337562494083177,16.073915729581497,8.544502541217481,25.618418270798973,"Jacob deGrom","10954",594798
"Zack Wheeler ","PHI","SP",110.48999786376953,92.368,3.3506262161111944,-1.461118177442271,3.7397363579635226,4.674581691162352,3.3144523382263746,13.618278426021172,8.544502541217481,23.162780967238653,"Zack Wheeler","10310",554430
"Yoshinobu Yamamoto ","LAD","SP",26.639999389648438,83.846,4.31104723113866,-1.461118177442271,4.348458611785904,3.2622456047225756,1.9715509555938393,12.432184225798709,8.544502541217481,21.97668676701619,"Yoshinobu Yamamoto","33825",808967
"Chris Sale ","ATL","SP",39.36000061035156,97.104,3.4771916167382533,-1.461118177442271,2.913153455694843,2.948803498396769,4.498017884411281,12.376048277798875,8.544502541217481,21.920550819016356,"Chris Sale","10603",519242
"Drew Rasmussen ","TBR","SP",132.36000061035156,95.302,2.195942332759407,-1.461118177442271,3.858431130363668,5.345846063915378,2.3525450455055195,12.291646395101699,8.544502541217481,21.83614893631918,"Drew Rasmussen","25385",656876
